SubmitTime,Problem,InvokerTime,Invocations,TestCount,TL
12177,0,20084,65,65,1000
25308,82,1458,20,20,1000
40771,93,904,7,55,1000
45372,104,445,6,175,1000
53620,115,22693,57,57,2000
61608,126,1869,24,40,1000
64646,137,1537,11,67,1000
65383,148,5286,57,81,1000
66172,148,78,1,81,1000
67817,159,13943,109,109,2000
80503,148,1020,13,81,1000
80567,148,1024,14,81,1000
84403,148,4318,57,81,1000
86559,148,5946,81,81,1000
92200,148,89,1,81,1000
102214,148,5962,81,81,1000
105805,1,55,1,71,2000
120322,148,6235,81,81,1000
122419,148,1701,23,81,1000
122534,148,89,1,81,1000
125162,148,138,2,81,1000
128230,148,971,13,81,1000
128728,148,181,2,81,1000
129160,148,979,13,81,1000
133351,126,2031,27,40,1000
134786,148,842,11,81,1000
136189,148,5310,57,81,1000
138360,93,99,1,55,1000
138805,148,999,14,81,1000
138942,148,5274,57,81,1000
140029,148,828,11,81,1000
140534,148,1232,16,81,1000
141699,148,86,1,81,1000
147440,12,4179,50,50,2000
148213,148,228,3,81,1000
150652,148,169,2,81,1000
153338,148,750,11,81,1000
154636,148,1096,14,81,1000
156268,148,4023,57,81,1000
157546,148,924,11,81,1000
158440,148,5144,57,81,1000
163040,148,780,11,81,1000
164084,148,2452,21,81,1000
164617,148,1033,14,81,1000
166841,148,893,11,81,1000
167818,148,5257,57,81,1000
169949,148,5052,57,81,1000
170474,148,99,1,81,1000
171023,148,1003,13,81,1000
173001,148,1034,13,81,1000
173113,148,5237,57,81,1000
173331,148,760,11,81,1000
174295,148,5948,81,81,1000
175247,148,1000,14,81,1000
177463,23,7966,70,70,4000
179203,148,1264,16,81,1000
179289,148,5258,57,81,1000
180827,148,6909,57,81,1000
181088,93,4548,44,55,1000
182291,34,2116,29,29,2000
185493,148,5498,74,81,1000
185919,148,751,10,81,1000
188705,148,954,14,81,1000
188800,148,83,1,81,1000
190195,148,6309,81,81,1000
191704,148,783,11,81,1000
191934,148,1074,15,81,1000
192053,148,802,11,81,1000
195090,148,5059,57,81,1000
195249,148,1030,14,81,1000
199656,45,351,4,56,1000
200034,148,5315,57,81,1000
204814,148,2926,37,81,1000
206830,148,9507,81,81,1000
207013,148,977,13,81,1000
207774,148,5363,57,81,1000
208703,148,5043,57,81,1000
210810,148,843,11,81,1000
212009,148,703,10,81,1000
212029,148,123,2,81,1000
212808,148,960,13,81,1000
215586,148,1185,16,81,1000
215996,148,92,1,81,1000
217568,148,5981,81,81,1000
217758,56,6179,58,64,2000
218964,148,832,11,81,1000
222890,148,825,11,81,1000
225832,148,98,1,81,1000
226022,148,895,13,81,1000
228247,67,75,1,1,1000
228333,148,5217,57,81,1000
228976,148,83,1,81,1000
229862,148,967,13,81,1000
231894,148,5407,57,81,1000
234270,78,282,3,3,2000
234326,148,780,11,81,1000
234635,148,1277,16,81,1000
234962,148,259,4,81,1000
236144,23,7893,70,70,4000
236180,148,995,13,81,1000
238155,148,928,13,81,1000
240048,148,6086,81,81,1000
242986,148,5240,57,81,1000
244112,148,962,13,81,1000
248954,148,5986,81,81,1000
250214,148,1152,16,81,1000
250543,148,823,10,81,1000
255037,148,5247,57,81,1000
255121,148,942,13,81,1000
259828,23,8317,70,70,4000
261777,148,524,8,81,1000
261880,148,5302,57,81,1000
262549,148,302,4,81,1000
263093,148,840,13,81,1000
265650,148,4639,57,81,1000
265786,148,5823,81,81,1000
266275,148,1017,14,81,1000
266384,80,1304,18,33,1000
267008,148,846,11,81,1000
267950,148,5069,57,81,1000
268109,148,77,1,81,1000
268945,148,5261,57,81,1000
269544,148,1114,16,81,1000
270175,83,2184,31,31,1000
270747,148,6175,81,81,1000
270877,81,1360,4,28,4000
270993,67,279,4,34,1000
271494,84,2689,35,35,1000
271609,148,60,1,1,1000
273084,148,5122,57,81,1000
273894,148,226,4,81,1000
274865,148,835,11,81,1000
275828,148,1036,14,81,1000
277188,148,912,13,81,1000
279057,148,1075,13,81,1000
280281,148,5170,57,81,1000
281960,148,650,8,81,1000
282038,148,1771,13,81,1000
284108,23,8109,70,70,4000
286017,23,14701,70,70,4000
286904,23,73,1,70,4000
287171,148,6000,81,81,1000
288221,148,773,11,81,1000
289155,85,98,1,1,3000
290864,148,5092,57,81,1000
291988,93,10138,55,55,1000
294996,148,171,2,81,1000
295996,148,870,13,81,1000
299076,148,773,11,81,1000
301702,148,5284,57,81,1000
302259,148,866,13,81,1000
302263,148,5888,81,81,1000
302376,86,3354,44,44,2000
302992,148,985,14,81,1000
304262,148,75,1,81,1000
307449,148,635,9,81,1000
307547,148,807,11,81,1000
307574,148,1046,14,81,1000
308156,148,1186,16,81,1000
309424,148,1076,14,81,1000
309835,148,5149,57,81,1000
310475,148,1144,16,81,1000
312305,148,852,12,81,1000
313088,148,706,9,81,1000
313247,148,5003,57,81,1000
313747,148,160,2,81,1000
314179,148,868,11,81,1000
315498,148,5343,57,81,1000
315629,148,5799,81,81,1000
315728,148,1080,14,81,1000
316725,148,5042,57,81,1000
317336,148,1125,16,81,1000
317680,148,5250,57,81,1000
317821,148,5372,57,81,1000
320261,148,851,11,81,1000
320558,148,87,1,81,1000
320868,148,5147,57,81,1000
322360,148,52,1,81,1000
325400,148,5201,57,81,1000
325480,148,959,13,81,1000
327114,85,15543,31,32,3000
328732,148,937,11,81,1000
329827,148,5542,57,81,1000
329844,23,409,6,70,4000
329987,148,5206,57,81,1000
330273,148,1205,15,81,1000
330434,148,559,8,81,1000
330630,148,974,13,81,1000
330953,148,65,1,81,1000
333904,86,3293,44,44,2000
334061,148,1053,14,81,1000
334433,148,1154,15,81,1000
334506,148,5387,57,81,1000
335577,87,151,2,33,2000
335971,148,8156,57,81,1000
336648,148,813,10,81,1000
336697,148,948,13,81,1000
339679,148,84,1,81,1000
340838,148,5077,57,81,1000
341992,148,72,1,1,1000
342587,148,5068,57,81,1000
343480,148,6040,81,81,1000
345665,148,286,4,81,1000
345788,148,670,9,81,1000
347416,148,1210,15,81,1000
348531,148,705,9,81,1000
351651,148,765,11,81,1000
351800,148,1188,10,81,1000
354469,148,6579,74,81,1000
354514,148,5145,57,81,1000
355592,148,5237,57,81,1000
358937,23,7382,70,70,4000
360102,148,50,1,81,1000
360387,148,1207,16,81,1000
361192,148,5049,57,81,1000
361451,148,1160,16,81,1000
367045,148,5497,57,81,1000
368692,148,1126,16,81,1000
368807,148,5981,81,81,1000
369760,148,5992,81,81,1000
370988,23,8615,70,70,4000
371955,148,316,4,81,1000
375236,148,97,1,81,1000
375424,148,91,1,1,1000
375713,148,5062,57,81,1000
376722,148,144,2,81,1000
377432,148,6083,81,81,1000
377927,148,687,9,81,1000
377953,148,681,9,81,1000
378211,148,83,1,1,1000
378512,148,831,11,81,1000
379122,148,850,11,81,1000
379417,148,281,4,81,1000
380734,148,272,4,81,1000
381251,148,983,13,81,1000
381757,148,1150,15,81,1000
382390,148,1131,16,81,1000
383890,148,5966,81,81,1000
385257,148,64,1,1,1000
386366,148,169,2,81,1000
386605,148,1082,15,81,1000
387167,148,5000,57,81,1000
387791,148,9883,74,81,1000
388722,148,5379,57,81,1000
389379,23,373,6,70,4000
390114,148,1072,15,81,1000
390188,148,5288,57,81,1000
390193,148,6102,81,81,1000
390256,148,6142,81,81,1000
392115,148,5318,57,81,1000
392690,148,6029,81,81,1000
393262,148,5946,81,81,1000
394972,148,5121,57,81,1000
395122,148,709,9,81,1000
395123,148,55,1,81,1000
397279,148,286,4,81,1000
398919,148,1070,16,81,1000
401703,23,12334,70,70,4000
402460,148,247,4,81,1000
403222,148,6282,81,81,1000
404836,148,690,9,81,1000
407230,148,6181,81,81,1000
408888,88,2552,36,36,2000
409014,148,1058,13,81,1000
409249,137,668,4,67,1000
409852,148,594,8,81,1000
410272,23,7937,70,70,4000
411883,148,8782,81,81,1000
411928,148,61,1,81,1000
413264,148,263,4,81,1000
413473,148,815,11,81,1000
413976,148,994,14,81,1000
414155,148,5873,81,81,1000
414838,148,2416,21,81,1000
415029,23,468,6,70,4000
417755,148,1776,16,81,1000
417781,148,63,1,1,1000
418098,148,777,11,81,1000
419055,148,53,1,81,1000
420811,148,5143,57,81,1000
422129,148,794,10,81,1000
422179,148,6127,81,81,1000
422415,148,6102,81,81,1000
423915,148,7838,57,81,1000
426177,148,4126,57,81,1000
428073,148,305,4,81,1000
429493,23,17573,70,70,4000
429920,148,5130,57,81,1000
430593,148,2221,30,81,1000
431266,148,6508,81,81,1000
431418,148,1197,16,81,1000
432352,148,644,9,81,1000
432362,23,7701,70,70,4000
434394,148,674,8,81,1000
434978,148,4973,57,81,1000
435532,148,315,4,81,1000
